label,Sent
neg,บน้ำมัน3เดือนสูญรายได้8พันลปตทเจ็บมากสุดผู้ค้าส่งสัญญาณ
neg,เกาะติดหุ้นptt
neg,แวดวงนักลงทุนปตทเร่งช่วยเหลือผู้ประสบ
neg,newsข่าวสั้นปตทพร้อมผลิตน้ำมันแก๊สโซฮอล์95
neg,บี้ท่อก๊าซฯปตททำค่าไฟพุ่งต้องรับภาระ
neg,จี้ปตทรับผิดชอบแผนส่งก๊าซช้า
neg,สะกิดตลาดหุ้นpttกำไรเติบโตแข็งแกร่งรับรู้กำไรจาก
neg,ตรึงค่าเรือโดยสาร1เดือนจี้ปตทรับผิดชอบค่าไฟแพง
neg,pttepปรับjdaใหม่เร่งดึงก๊าซเข้าระบบชดเชยแหล่งอาทิตย์
neg,คุณค่าบริษัทpttหุ้นอนาคต
neg,วิเศษบี้ปตทสผรับผิดชอบเอฟทีหลังท่อก๊าซล่าช้า
neu,แมงเม่ากรี๊ดสะใจรอซื้อปตทหลุด200ได้ทีเป็นเจ้าของpttep
neu,ปตทสร้างคนรุ่นใหม่ขับขี่มีวินัย
neu,ปตทรับก๊าซฯภูฮ่อมเข้าระบบ1ตค
neu,ปตทช่วย
neu,ปตทแปรรูปถูกต้องตามกม
neu,ปตทสกายปีกรุกธุรกิจไอซีทีได้ฤกษ์เปิดบริษัทใหม่เดือนกค
neu,ปตทยอมขึ้นค่าการตลาดngvอ้างเต็มที่ได้แค่180บาทล
neu,ยอมเพิ่มค่าการตลาดเอ็นจีวี‘ปตท’หวังจูงใจเปิดปั๊มเพิ่ม
neu,ptthitsnukesnaginiran
neu,ปตทดึงเงินกู้เพื่อเอ็นจีวี7พันลมาทำเองเหตุแบงก์เข้มงวด
neu,ptttakesonngvconversions
neu,เจาะแผนพลังงานทางเลือกปตทหวังซีเอ็นจีทดแทนน้ำมัน20
neu,ปตทปิโตรนาสกัดฟันแอ่นอกตรึงราคาดีเซล
neu,pttresponsibleforanydelayingassupplyviset
neu,ปตทขยายปั๊มngvตจวดึงกลับเงินกู้7000ล้าน
neu,ปล่อยกู้เอ็นจีวีอืดเหตุติดเกณฑ์แบงก์ปตทขอจัดการเอง
neg,ปตทช่วยเหลือผู้ประสบภัยภาคเหนือ
neg,ปตทจั่วลมดึงรถติดเอ็นจีวี
neu,ปตทโชว์พัฒนาเอ็นจีวีประกาศเลิกอุ้มแอลพีจี
neu,รอบด้านตลาดหุ้นpttแนะนำซื้อราคาเป้าหมาย300บาท
neu,วิเศษยืดแผนอุ้มก๊าซหุงต้มปตทชี้ราคาจริงถังละ415บาท
pos,pttดึงเยาวชนร่วมอนุรักษ์พลังงานเปิดโครงการค่ายเยาวชนทั่ว
pos,บอนด์น้ำมันส่อเลื่อนยาวกฟผปตทเปิดศึกพีดีพี
pos,พลังงานตีกลับแผนผลิตไฟฟ้าสั่งกฟผรอตัวเลขจากปตท
pos,pttมาร์เก็ตแคปกลุ่มหดกว่า1แสนลหลังหุ้นรูดลงtpiเดินหน้า
pos,ปตทใจป้ำติดอุปกรณ์เอ็นจีวีเก๋งฟรี
neu,ปตทไม่ลดราคาตามตลาดโลก
neu,ptteyesmajorphilippinesexpansion
neu,ข่าวสั้นทั่วไทยปตทช่วยผู้ประสบภัย
neu,ปตทเดินหน้าทาบบริษัทยักษ์ใช้ก๊าซเอ็นจีวีลดต้นทุน
neu,ปตทลดราคาเบนซิล40สตลิตร
neu,ปตทร่วมช่วยเหลือผู้ประสบอุทกภัยภาคเหนือ
neu,ขู่ล้มปตทรัฐต้องควัก4แสนล้านซื้อหุ้นคืน
neu,องค์กรผู้บริโภคจี้รัฐเร่งตั้งองค์กรอิสระคุมปตท
neu,ปตทขึ้นเวทีแจงแปรรูปสร้างประโยชน์ประเทศ
neu,เกาะติดหุ้นบมจปตทเคมิคอล
neu,ค่าการตลาดปั๊มngvพุ่ง233บปตทประเคนให้ล่อใจบน้ำมันดันยอด
neu,โอเคแคชจับมือปตท
neg,ปตทยันถือหุ้นบริษัทท่อก๊าซ100จ้างที่ปรึกษากฎหมายสู้คดี
pos,ไอพีทีเดินหน้าเข้าประมูลโรงไฟฟ้าเตรียมแผนลดหุ้นpttหวัง
pos,นายเรียนรู้pttep
pos,รัฐยังถือหุ้นใหญ่ปตท68
pos,สบพลอยตัวก๊าซหุงต้มปตทกระทบชดเชยช้าลง
pos,โฟกัสหลักทรัพย์pttchเริ่มฟื้นตัว
pos,ปตทลดสัดส่วนลงทุนในiptเล็งเข้าประมูลไอพีพีรอบใหม่
pos,ควบบริษัทลูกปตทสะดุดหลังสรรพากรตัดสิทธิภาษี
pos,ปตทเทแสนลลงทุนครึ่งปีหลังกางแผนวันนี้ยันเบิกจ่ายตามเป้า
pos,pttcancelsplantomergettcwithrrc
pos,ปตทเล็งใช้อาร์อาร์ซีเทกโอเวอร์เอทีซีปี50
pos,ปตทปรับแผนใช้rpcเทกฯatcหวั่นควบรวมเสียประโยชน์ด้านภาษี
pos,ปตทรายงานพร้อมลงทุน3แสนล
pos,คลังมึนปตทขอ2แสนลลั่นคำรัฐเวนคืนท่อก๊าซ
pos,ภาษีพ่นพิษควบกิจการปตทสะดุด
pos,ปตทแจงงบฟื้นเศรษฐกิจ
pos,แผนควบรวมatcrrcชะงักpttเล็งปรับเกมเทคโอเวอร์
pos,ธพสเดินหน้าศูนย์ราชการกรุงเทพฯจ้างปตท700ลผลิตระบบความ
pos,ปตทเปิดเผยลงทุน3แสนล้านเน้น3ธุรกิจก๊าสฯปิโตรเคมีโรง
pos,ปตทปรับแผนซื้อเอทีซีอาร์อาร์ซีหวั่นเสียสิทธิ์ภาษีเงินได้
pos,ควบrrcatcสะดุดpttปรับแผนรอเทคฯ
pos,pttscrapsatcrrcmergerplanoverrulingontax
pos,pttconsolidationtaxruleshutsdooronmerger
pos,ปตทไม่การันตีดีเซลไม่ถึงลิตรละ28บ
pos,บริษัทลูกปตทสผสำรวจปิโตรเลียมโอมานเพิ่ม
pos,พลังงานเจ๋งทุกตัวptteptopทีเด็ด
pos,วิเศษปตทไล่บี้รงเอทานอลจี้เพิ่มกำลังผลิตส่งซิกเลื่อน
pos,ปตทลุ้นเลิกเบนซิน95ปีหน้า
pos,บิ๊กปตทกัดฟันตรึงราคาเบนซินลุ้นปรับขึ้น30มิย
pos,pttepเทงบลงโอมานเพิ่มมูดี้ส์ยันฐานะปตทยังแกร่ง
pos,มูดี้ส์เครดิตหุ้นกู้pttสกุลเงินเยนที่ระดับa3
pos,ptteptoinvestb14bninoman
pos,pttlooksatbt4bnsubsidybillfortheyear
pos,แหล่งอาทิตย์สะดุดปตทเลื่อนส่งก๊าซหวั่นค่าไฟพุ่งพรวด
pos,ปตทเพิกถอนหุ้นเอทีซีหลังโรงกลั่นระยองเทกฯ
pos,ปตทพร้อมเปิดทางrrcเทกโอเวอร์atc
pos,ปตทดันrrcซื้อกิจการatcมั่นใจผู้ถือหุ้นได้รับประโยชน์
pos,pttchยิ้มรับราคาเอทิลีนพุ่ง
pos,ปตทสรุปใช้rrcซื้อกิจการatc
pos,ปตทพลิกแผนดันอาร์อาร์ซีเทคโอเวอร์เอทีซี
pos,ปตทจัดให้
pos,ปตทพลิกแผนควบธุรกิจโรงกลั่นให้อาร์อาร์ซีซื้อเอทีซีเพิกถอน
pos,pttgrouprestructuringrayongrefinerymaytake
pos,เบนซินขึ้นราคาอีกแล้วแต่ปตทยังอั้นเพื่อชาติ
pos,ผู้ค้าขึ้นเบนซิน40สตางค์เว้นปตท
pos,ปตทอั้นไม่ไหวขึ้นเบนซิน2กค
pos,ปตทสุดอั้นขึ้นเบนซินอีก40สตกกรถกจันทร์นี้อุ้มเอสเอ็ม
pos,ปตทรับมือก๊าซฯตึงตัวปี50ดึงjdaพม่าเข้าเสริมระบบ
pos,รัฐสั่งปตทจ่ายภาษีป้ายร้านกาแฟในปั๊ม
pos,ปตทโดนภาษีป้ายcafeamazon
pos,ปตทวาดแผนลงทุนกว่า5แสนลมั่นใจเดินนโยบายต่อเนื่องไม่ชะลอ
pos,เปิดแผนลงทุนปตท5แสนล้านเน้นท่อก๊าซโรงกลั่นช่วยกระตุ้น
pos,ชี้ชัดปตทต้องจ่ายภาษีป้าย
pos,ปตทรื้อแผนส่งก๊าซรับแหล่งอาทิตย์เลื่อน
pos,ปตทจีบปั๊มแอลพีจีบิ๊กขนส่งร่วมขยายเครือข่ายซีเอ็นจี
pos,ปตทคุยฟุ้ง5เดือนติดเอ็นจีวี12086คัน
pos,ปตทจ๋อยกฤษฎีกาไมรับลูกยันต้องเสียภาษีป้ายร้านกาแฟ
pos,ปตทลุยกว้านซื้อlngตปทเพิ่มโบรกฯชี้ราคายังต่ำแนะนำลงทุน
pos,ปตทร่วมทุนอิหร่านนำเข้าแอลเอ็นจี
pos,pttepเดินหน้าแหล่งบงกชใต้เตรียมสร้างแท่นขุดเจาะกคนี้
pos,ปตทเซ็นเอ็มโอยูอิหร่านลงทุนและนำเข้าแอลเอ็นจี
pos,ปตทซื้อlngจากอิหร่าน3ล้านตันเล็งร่วมทุนต่างชาติหาแหล่ง
pos,ปตทจับมืออิหร่านซื้อlng3ล้านตันเผยลงทุนขนส่งเองทั้งหมด
pos,ปตททุ่ม150ล้านเปิด5ปั๊มเอ็นจีวีอีสาน
pos,pttคุ้มแผนซื้อกิจการrrcatc
pos,pttลังเลขึ้นราคาน้ำมันรับภาระแทนถึง3000ลโบรกฯเชื่อ
pos,ปตทตามติดราคาน้ำมันโลกขอ3วันอาจปรับเบนซินเกินลิตรละ30บาท
pos,ปตทขอ3วันปรับราคาเบนซินชี้ครึ่งปีหลังน้ำมันยังทะยานสูง
pos,ปตทกัดฟันตรึงน้ำมันอีกเฮือกส่งซิกเบนซินขยับทะลุ30บแน่
pos,ปตทช่วยเกษตรกรผู้ประสบภัยภาคเหนือ
pos,ปตทลุยธุรกิจก๊าซธรรมชาติเซ็นสัญญานำเข้าจากอิหร่าน
pos,ปตทหันเทกโอเวอร์แทนควบรวมรักษาสิทธิประโยชน์ทางภาษี5ปี
pos,ปตทลังเลขึ้นราคาน้ำมันอีกรอบ
neu,รัฐชื่นมื่นชาติอาหรับหนุนกลุ่มปตท
neu,phatraคืนหุ้นrrcแก่pttแล้ว
neu,ภัทรใช้กรีนชูซื้อrrc41ล้านหุ้นพร้อมส่งคืนให้ปตทเต็ม
neu,energypttepcitesoctoberforomanlaunch
neu,ปตทสผลุยโอมาน
neu,นายเรียนรู้pttch
neu,รัฐดันปตทยึดตะวันออกกลางฐานธุรกิจน้ำมัน
neu,คนไทยสะอื้นน้ำมัน30บปตทฟันกำไรพุงปริ้น
neu,เชลล์ปตทพบกันครึ่งทางขึ้นค่าการตลาดเอ็นจีวีใหม่ให้แค่
neu,บลภัทรไล่เก็บหุ้นกรีนชูโรงกลั่นระยองคืนปตท
neu,คลังหิ้ว10บจลุยสิงคโปร์โรดโชว์หุ้นไทยpttktbbblติดโผ
neu,ตรึงค่าไฟไม่ง้อปตทรัฐย้ำพึ่งก๊าซฯภุฮ่อม
neu,ปตทใจป้ำยอดเพิ่มค่าการตลาดปั๊มเอ็นจีวีปรับเป็น233บาท
neu,หุ้นกลุ่มปตทร้อนอาร์อาร์ซัพุ่ง
neu,พลังงานเชื่อผู้ค้าน้ำมันร่วมขายngvpttพร้อมเพิ่มค่าการตลาด
neu,ปตทจนมุมเพิ่มค่าตลาดเอ็นจีวี150บ
neu,ปตทยันไตรมาส2ยังมีกำไรแม้ควัก3พันลตรึงราคาน้ำมัน
neu,pttฟันกำไรเพิ่ม14
neu,ปตทเล่นได้ครั้งเครือtoprrcatcพีคสุดๆประเสริฐยันราคา
neu,ปตทจูงใจน้ำมันทำปั๊มngvขึ้นค่าการตลาดให้สูงกว่า233บาท
neu,pttมั่นใจผลงานดีต่อเนื่องยอดขายกำไรสูงกว่าปีก่อน
neu,naturalgaspttraisesngvmarketingfee190
neu,ปตทกรุงเก่าซ้อมรับมือท่อก๊าซรั่ว
neu,ptteptoproduceomangasinoctober
neu,ปตททุ่ม4หมื่นลสร้างคลังท่อก๊าซ
neu,เบนซินทะลุ30บปตทยังตรึง
neu,วันนี้น้ำมันเบนซินทะลุ30บาทแล้วปตทยอมกัดฟันตรึงราคาต่อไป
neu,กลุ่มปตทเปิดธุรกิจใหม่บริการไอทีรองรับการเติบโตมุ่งสู่ความ
neu,ปตทผุดโรงก๊าซแอลเอ็นจี2หมื่นล้าน
neu,ปตทผุด200ปั๊มเอ็นจีวีทั่วภาคใต้
neu,ptttosetupbt26bnnaturalgassubsidiary
neu,คนไทยกระอักวันนี้เบนซินทะลุ30บาทปตทอั้น
neu,ปตททุ่ม2หมื่นล้านถมทะเลผุดคลังแอลเอ็นจี
neu,ปตทฟันธงน้ำมันครึ่งปีหลังไม่เกิน31บ
neu,กฟผลดกำลังผลิตสำรองหยุดเอฟทีวอนปตทตรึงราคาก๊าซช่วยอีกแรง
neu,ทททผนึกปตทดันยอดอนุสารอสทสมาชิกพุ่ง5เท่าขึ้นผู้นำ
neu,ปตททุ่มงบ4หมื่นล้านลงทุนสร้างโรงแยกก๊าซมาบตาพุด
neu,ปิโตรเคมีซื้อลงทุนได้ยาวatcpttchเด่นเข้ารอบ
neu,ปตทสผรุกอีกก้าว
neu,อสทเพิ่มสมาชิกปั้นยอด2แสนดดึงปตทร่วมงาน
neu,แตกตื่นน้ำมันทะลุ30บาทแห่เติมปตทคนไทยรัดเข็มขัดยอดใช้
neu,mrstockถ้าปิโตรเคมีโตpttsccรุ่ง
neu,pttshellsout26bnbahtforlng
neu,pttทุ่มงบ600700ล้านดอลล์ดึงพันธมิตรสร้างคลังก๊าซlng
neu,ปตททุ่ม26หมื่นลตั้งpttlngสร้างท่าเรือรับก๊าซที่มาบตาพุด
neu,ปตทเคมิคอลหลอนถอยกรูดควบรวมกิจการอะโรเมติกส์โรงกลั่นระ
neu,ปตทสผกัดฟันเช่าเรืออุดก๊าซแก้ปัญหาแหล่งอาทิตย์ทันปี50
pos,spaffirmsptteprating
pos,ปตทเพิ่มราคาตามผู้ค้ารายอื่นทุกชนิด40สต
pos,ปตทปรับแล้ว40สตคาดสัปดาห์นี้ขึ้นอีก
pos,ปตทเตรียมสร้างแท่นขุดเจาะแหล่งบงกชใต้
pos,spยืนยันเรตติ้งหุ้นกู้ปตทสผโบรกฯชี้ราคา
pos,ปตทหมดแรงอั้นประกาศขึ้นราคาเบนซินดีเซลอีก40สตตามโผ
neg,บมจสำรวจและผลิตปิโตรเลียมpttepคาดกำไรปกติ2q49เพิ่ม
neg,ปตทสผรุกโอมาน
neg,อันดับความเชื่อถือpttepเอสแอนด์พีให้เครดิตbbb
neg,pttepกำไรพุ่ง41ปีนี้ได้เห็น3หมื่นล้าน
neg,ปตทจับtopควบbcpกำลังผลิตเพิ่ม3แสนไทยออยล์เจิดจ้าเป็น
neg,ปตทสร้างโอกาส
neg,หุ้นเด่นรอช้อนซื้อpttep
neg,ปตทช่วยเหลือผู้ประสบอุทกภัย
neg,ปตทมั่นใจปั๊มngvทะลุเป้าบางจากเชลล์เอสโซ่ร่วมลุย
neg,brightoutlookforpttspratingaffirmed
neg,ปตทดึงซีพีผุดโรงงานไบโอดีเซล
neg,pttepแรงเข้าตาฝรั่งหัวแดงเร่งตุนหุ้นผ่านเอ็นวีดีอาร์เพียบ
neg,pttไตรมาส2มีรายได้พิเศษบุ๊กกำไรเงินขายหุ้นrrc
neg,ชาวสงขลาได้เฮใช้ก๊าซราคาถูกปตทรุกผุดปั๊มเอ็นจีวีหาดใหญ่
neg,ปตทจับมือซีพีรุกผลิตไบโอดีเซล
neg,ประชาชาติexclusiveวิสัยทัศน์เบอร์1ปตทเราจะ
neg,เปิดปั๊มเอ็นจีวีทั่วประเทศปตทรุกบางจากและปั๊มlpg
neg,หวั่นวืดเป้าปลูกปาล์มน้ำมันโตโยต้าจับมือปตทมเกษตรวิ
neg,ปตทจัดทัพรับเศรษฐกิจเสี่ยงบริหารคนดันกลยุทธ์shareservice
neg,ปตทจับมือเมเจอร์ออยล์เพิ่มปั๊มเอ็นจีวี
neg,kasetsartpttandtoyotaseeknewsourceof
neg,ชงแผนรับมือวิกฤตน้ำมันสั่งปตทอั้นยันสัปดาห์หน้า
neg,สงครามตะวันออกกลางฟาดหางไทยน้ำมันขึ้นพรวดเว้นปตทชงครมปัด
neg,ปตทเตือนระวังเหยื่อมิจฉาชีพ
neg,ปตทจ่อคิวขึ้นค่าน้ำมันในอาทิตย์หน้า
neg,pttเตรียมปรับขึ้นราคาน้ำมันวันนี้
neg,pttchคงเป้ากำไรปีนี้133หมื่นล้าน
neg,วิเคราะห์บริษัทจดทะเบียนpttchดูดีแม้ปิโตรเคมีขาลง
neg,pttchโอเลฟินส์กำลังขาขึ้นงบq2กำไรพุ่ง68ราคาเป้าหมาย95บาท
neg,pttcallsforbiodieselbids
neg,pttติด1ใน500บริษัทยักษ์โลกมั่นใจรายได้โตไม่ต่ำกว่าปีที่
neg,คลินิกการเงินpttchจะมีกำไรโตเด่นสุด
neg,ปตทปูนใหญ่แตะเบรกแผนลงทุนปิโตรฯอิหร่าน
neg,egcompptt
neg,ต่างชาติเลื่อระดับปตทบริษัทขนาดใหญ่ของโลก
neg,ปตทสร้างโอกาส
pos,pttกัดฟันยังไม่ขึ้นราคาน้ำมันอีกผู้ขนส่งสินค้าเตรียมขึ้น
pos,ปตทสผพบก๊าซแหล่งใหญ่ในพม่าเสริมสำรอง30ปี
pos,bafsโละคลังน้ำมันปตทอ้าแขนซื้อต่อปรับเป็นท่อส่งก๊าซฯ
pos,ธุรกิจโลกปตทธุรกิจหนึ่งเดียวของไทยขึ้นทำเนียบ
pos,thaksinnamedinrichlistpttnamedtopcompany
pos,ขบลดภาษีรายปีหนุนรถบรรทุกติดngvเอกชนจี้ปตทคลายกฎเหล็ก
pos,โตโยต้าปตททุ่มงบกว่า33ล้านบาทจับมือมเกษตรวิจัยไบโอ
pos,ผลประกอบการไตรมาส2ปีนี้ปตททุบสถิติกำไร
pos,ปตทแบงก์รื้อเกณฑ์ปล่อยกู้เอ็นจีวีเปิดผู้ประกอบการ
neu,ปตทปั้นเยาวชนภาคเหนือเป็นผู้นำอนุรักษ์พลังงาน
neu,ปตทกล่อม8แบงก์ผ่อนกฎให้กู้เอ็นจีวี
neu,บางจากจับมือปตทรุกเปิดสถานีบริการก๊าซngvสนับสนุนนโยบาย
neu,มุมมองของผมทวงคืนปตทมาเป็นของรัฐ
neu,ปตทเปิดทางเอ็นพีแอลกู้ทำรถเอ็นจีวี
neu,เสธมะแนะรัฐปตทตั้งปั๊มก๊าซคืนประโยชน์ให้คนเมืองกาญจน์
neu,กฟผเจรจาปตทลดค่าก๊าซ
neu,ปตทบริษัทพลังงานไทย
neu,stockfocuspttคาดกำไรไตรมาส2โต17
neu,ปตทส่งสัญญาณลดราคาน้ำมันลุ้นวันนี้ทั้งเบนซินและดีเซล
neu,ข่าวดีน้ำมันตลาดโลกลงปตทส่งสัญญาณลดเบนซิน
neu,pttกำไรq2ขยายตัวอานิสงส์บริษัทลูกทำผลงานดี
neu,ปตทเล็งลดราคาลุ้นไม่เกินวันพุธนี้คาดลงอีก40สต
neu,หอค้ากาญจน์จี้ปตทคืนกำไรท้องถิ่น
neu,pttchปิโตรเคมีที่โตสวนกระแส
neu,pttepเน้นความเป็นเลิศแบบบูรณการ
neu,ภาพรวมการจ่ายปันผลปี2548ปตทเคมิคอลdividendpayoutสูง
neu,เคาะหุ้นpttไตรมาสสองกำไรกระฉูด60
neu,รีบเก็บหุ้นpttpttepรับน้ำมันพุ่งลุ้นปตทปันผลครึ่ง
neu,ค่ายวินาศภัยรุมจีบปตทขอเอี่ยวรับประกันรถใช้ก๊าซngv
neu,โฆษณาแฝงปตทบริษัทพลังงานไทย
neu,pttลั่นผลประกอบการq2พุ่งrrcซื้อatcได้ข้อสรุปปลายปี
pos,ปตทยังไม่ปรับราคาน้ำมัน
pos,ปตทล้มแผนควบกิจการโรงกลั่นฯ
pos,pttคาดงบq2พุ่งอานิสงส์น้ำมันแพง
pos,‘ประเสริฐ’ยันกำไรทั้งปีเยี่ยมปตทส้มหล่นราคาน้ำมันขยับ
pos,pttล้มแผนควบรวมatcrrcเทกโอเวอร์รักษาสิทธิทางภาษี
pos,ปตทเชื่อรายได้ไตรมาส2ทะยานรับอานิสงส์น้ำมันในตลาดโลก
pos,ปตทงัดแผนเทคโอเวอร์แทนควบ
pos,ปตทล้มแผนควบรวมบริษัทลูกปรับกลยุทธ์ใช้วิธีเทกโอเวอร์เพื่อ
pos,drtผนึกpttใช้ก๊าซธรรมชาติลดต้นทุนผลิตโบรกฯเชียร์เก็บ
pos,stockfocuspttคาดกำไรไตรมาส2โตก้าวกระโดด
pos,ปตทสุดยอด
pos,ปตทรับ3รางวัล
pos,pttepmaypostrecordprofitaspricessruge
pos,ปตทสนับสนุน
pos,ปตทคว้า3รางวัล
neu,ปตทสนับสนุนโครงการจักรยานเพื่อสิ่งแวดล้อม
neg,pttepข่าวดีไม่รู้จบเจอก๊าซใหม่ในพม่า
neg,btแนะหุ้นเก็งกำไรรอบสัปดาห์เชียร์kestpttadvanc
pos,pttepโชว์ไตรมาส2โตเพิ่มกำไร72พันลปันผล171บ
pos,ค่ายปตทโกยกำไร8พันล้านโต15สผหนุน
pos,ปตทรวยถล่มทลายq2กำไร3หมื่นล้านสูงสุดเป็นประวัติการณ์งบ
pos,สัมภาษณ์พิเศษปตทผนึก4ค่ายผุดปั๊มเอ็นจีวีการันตี
pos,alternativefuelptttoassistitscompetitorsin
pos,สุดอั้นขึ้นเบนซินอีก40สตปตทอ้างราคาตลาดโลกขยับ
pos,pttepจ่ายปันผล171บสะสมกำไรครึ่งปี15หมื่นล
pos,stockfocuspttepกำไรไตรมาส2ต่ำกว่าคาดการณ์
pos,ปตทสผรับอานิสงส์น้ำมันพุ่งกำไรครึ่งปีแรก15หมื่นล
pos,pttsfuelpricesgouptoday
pos,บลยูไนเต็ดเพิ่มเป้ามูลค่าหุ้นpttคาดกำไรไตรมาส249ปรับตัว
pos,เบรกชูอุ้มพลังงานหาเสียงปตทสุดอั้นขึ้นราคาเบนซิน
pos,ปตทประกาศลงแข่งชิงบ่อก๊าซเบงกอลขยายสัมปทานพม่าสู้
pos,phillipsecuritiesบริษัทปตทสำรวจและผลิตปิโตรเลียมจำกัด
pos,ทสจกาญจน์ขานรับให้ปตทตั้งปั๊มก๊าซ
pos,pttepdividendrisesto171baht
pos,pttepขุดแลงm9ในพม่าเวิร์กฤดูพายุดันราคาน้ำมันทรงตัวสูง
pos,ปตทขนส่งทางบกมุ่งสร้างนักขับบี่รุ่นใหม่รักวินัยลด
pos,ปตทสผเผยบย่อยสำรวจพบปิโตรเลียมในพม่าเตรียมทดสอบอัตราการ
pos,pttepaimstomaximiseoilreserves
pos,ปตทครึ่งปีน้ำมันขาดทุน3พันล้าน
pos,หุ่นกลุ่มปตทวิ่งดันดัชนีขึ้น7จุดสผพบก๊าซพม่า
pos,วิเศษปตทโต้ผู้ค้าน้ำมันปฏิเสธบิดเบือนตลาด
pos,pttepปรับลดยอดขายเหตุ2แหล่งขุดเจาะล่าช้ามารุตลั่น
pos,ปตทสผเลื่อนขุด3แหล่งฉุดปริมาณขาย5ปีลดลง
pos,pttรุกผลิตไบโอดีเซลเพิ่มโบรกฯเชียร์ลงทุนปันผลดี
pos,ปตทสผปรับลดเป้ายอดขาย5ปีลงชี้อาทิตย์เจดีเอเลื่อน
pos,ปตทผนึก2บริษัทผลิตไบโอดีเซลลดนำเข้าน้ำมัน
pos,pttepปรับลดยอดขายสินค้าเงินลงทุนเหลือ59หมื่นล้าน
pos,ชีพจรตลาดหุ้นกลุ่มปตทแรง
pos,ปตทเร่งพัฒนาไบโอดีเซลลดนำเข้าน้ำมันปีละกว่า8พันล
pos,pttepหั่นเป้ายอดขายโบรกฯแนะถอยก่อน
pos,pttครึ่งปีหลังกำไรดีไม่มีตกโบรกมองราคายังห่างเป้าหมาย
pos,บิ๊กปตทการันตีก๊าซไม่ขาดแคลนใช้งานได้อีก15ปี
pos,pttepตั้งเป้าขายปิโตรเลียมปี50ที่188แสนบาร์เรลต่อวัน
pos,pttเร่งผลิตไบโอดีเซลหวังลดภาระนำเข้าน้ำมัน
pos,ปตทรับรางวัลcsrพร้อมอีก2รางวัลสุดยอด
pos,ปตทกรุยทางสำรวจปิโตรเลียมหาแหล่งก๊าซระยะยาวป้อนกฟผ
pos,pttepcutssalesvolumeforeacstonfielddelays
pos,ปตทเสริมสร้างชุมชน
pos,ปตทขนส่งทางบกมุ่งสร้างนักขับขี่รุ่นใหม่รักวินัยลด
pos,ผู้ค้าน้ำมันผวาปตทไม่กล้าขยับด้านคลังยอมสูญหมื่นล้านปลุก
pos,ปั๊มน้ำมันกลืนเลือดอั้นราคาตามปตท
pos,แห่เสนอที่ปตทผุดปั๊มเอ็นจีจีกทมปริมณฑล
pos,ปตทดันโรงกลั่นสตาร์เข้าเทรดตลาดหุ้นปีหน้า
pos,ปตทสผเดินสายโรดโชว์สหรัฐอังกฤษกยนี้
